PID,USER,PR,NI,VIRT,RES,SHR,S,[%CPU],%MEM,TIME+,ARGS
1315,system,18,-2,15G,313M,115M,S,9.3,5.6,213:00.88,system_server
7300,u0_a210,20,0,6.6G,173M,109M,S,6.2,3.1,0:09.49,com.google.andr+
12909,root,20,0,0,0,0,I,6.2,0.0,0:09.61,[kworker/u16:7-+
16494,root,20,0,0,0,0,I,3.1,0.0,0:12.04,[kworker/u16:15+
3631,root,RT,0,0,0,0,S,3.1,0.0,8:33.28,[irq/50-1b8e300+
870,statsd,20,0,2.2G,7.3M,3.4M,S,3.1,0.1,8:21.55,statsd
9104,u0_a211,20,0,6.4G,142M,97M,S,0.0,2.5,0:01.49,com.android.ven+
8853,u0_a209,20,0,5.6G,70M,47M,S,0.0,1.2,0:00.37,com.google.proc+
8805,u150_a209,20,0,5.6G,71M,47M,S,0.0,1.2,0:00.39,com.google.proc+
8753,u0_a211,20,0,6.8G,185M,120M,S,0.0,3.3,0:05.37,com.android.ven+
8707,u0_a254,16,-4,7.3G,159M,102M,S,0.0,2.8,0:01.90,com.snapchat.an+
8600,u150_a211,20,0,6.4G,139M,96M,S,0.0,2.4,0:01.30,com.android.ven+
8554,u150_a248,20,0,5.7G,79M,53M,S,0.0,1.4,0:00.36,com.google.andr+
8547,u150_a211,20,0,6.6G,165M,115M,S,0.0,2.9,0:02.32,com.android.ven+
8296,u150_a209,20,0,5.6G,69M,45M,S,0.0,1.2,0:00.32,com.google.proc+[?25h[999H[K[?25h[?25h[999H[K
,,,,,,,,,,,
7300,u0_a210,20,0,6.5G,174M,109M,S,6.2,3.1,0:09.52,com.google.andr+
1315,system,18,-2,15G,313M,115M,S,6.2,5.6,213:00.92,system_server
2862,system,20,0,8.5G,62M,33M,S,3.1,1.1,3:32.82,com.sec.imsserv+
2429,u0_a46,10,-10,8.4G,254M,111M,S,3.1,4.5,48:14.87,com.android.sys+
2405,radio,20,0,6.8G,87M,44M,S,3.1,1.5,15:10.46,com.android.pho+
72,root,20,0,0,0,0,S,3.1,0.0,1:31.36,[rcuop/7]
14,root,20,0,0,0,0,S,3.1,0.0,5:45.71,[rcuop/0]
11,root,20,0,0,0,0,I,3.1,0.0,9:22.39,[rcu_preempt]
9104,u0_a211,20,0,6.4G,142M,97M,S,0.0,2.5,0:01.49,com.android.ven+
8853,u0_a209,20,0,5.6G,70M,47M,S,0.0,1.2,0:00.37,com.google.proc+
8805,u150_a209,20,0,5.6G,71M,47M,S,0.0,1.2,0:00.39,com.google.proc+
8753,u0_a211,20,0,6.8G,185M,120M,S,0.0,3.3,0:05.37,com.android.ven+
8707,u0_a254,16,-4,7.3G,159M,102M,S,0.0,2.8,0:01.90,com.snapchat.an+
8600,u150_a211,20,0,6.4G,139M,96M,S,0.0,2.4,0:01.30,com.android.ven+
8554,u150_a248,20,0,5.7G,79M,53M,S,0.0,1.4,0:00.36,com.google.andr+
8547,u150_a211,20,0,6.6G,165M,115M,S,0.0,2.9,0:02.32,com.android.ven+[?25h[999H[K[?25h[?25h[999H[K
,,,,,,,,,,,
19274,root,20,0,0,0,0,I,3.1,0.0,0:06.93,[kworker/u16:17+
20047,u0_a380,20,0,25G,208M,82M,S,3.1,3.7,1:50.11,com.truecaller
9445,u0_a209,16,-4,24G,197M,107M,S,3.1,3.5,18:17.26,com.google.andr+
1315,system,18,-2,15G,313M,115M,S,3.1,5.6,213:00.95,system_server
313,root,0,-20,0,0,0,I,3.1,0.0,0:05.38,[kworker/2:1H-k+
72,root,20,0,0,0,0,S,3.1,0.0,1:31.37,[rcuop/7]
9104,u0_a211,20,0,6.4G,142M,97M,S,0.0,2.5,0:01.49,com.android.ven+
8853,u0_a209,20,0,5.6G,70M,47M,S,0.0,1.2,0:00.37,com.google.proc+
8805,u150_a209,20,0,5.6G,71M,47M,S,0.0,1.2,0:00.39,com.google.proc+
8753,u0_a211,20,0,6.8G,185M,120M,S,0.0,3.3,0:05.38,com.android.ven+
8707,u0_a254,16,-4,7.3G,159M,102M,S,0.0,2.8,0:01.90,com.snapchat.an+
8600,u150_a211,20,0,6.4G,139M,96M,S,0.0,2.4,0:01.30,com.android.ven+
8554,u150_a248,20,0,5.7G,79M,53M,S,0.0,1.4,0:00.36,com.google.andr+
8547,u150_a211,20,0,6.6G,165M,115M,S,0.0,2.9,0:02.32,com.android.ven+
8296,u150_a209,20,0,5.6G,69M,45M,S,0.0,1.2,0:00.32,com.google.proc+
8281,u0_a181,20,0,6.0G,115M,80M,S,0.0,2.0,0:01.73,com.sec.android+[?25h[999H[K[?25h[?25h[999H[K
,,,,,,,,,,,
15616,u0_a42,20,0,6.8G,57M,31M,S,9.3,1.0,1:24.65,android.process+
1164,system,-3,-8,2.9G,25M,17M,S,9.3,0.4,189:51.59,surfaceflinger
19697,u0_a341,4,-16,8.4G,87M,45M,S,6.2,1.5,0:13.23,com.instagram.a+
19274,root,20,0,0,0,0,R,3.1,0.0,0:06.97,[kworker/u16:17+
16494,root,20,0,0,0,0,I,3.1,0.0,0:12.16,[kworker/u16:15+
1082,root,20,0,2.2G,2.6M,2.1M,S,3.1,0.0,0:58.30,vendor.qti.hard+
1055,system,-3,-16,2.4G,7.3M,6.1M,S,3.1,0.1,71:29.33,vendor.qti.hard+
351,root,RT,0,0,0,0,S,3.1,0.0,5:37.97,[crtc_event:75]
350,root,RT,0,0,0,0,S,3.1,0.0,23:35.60,[crtc_commit:75]
72,root,20,0,0,0,0,S,3.1,0.0,1:31.38,[rcuop/7]
9104,u0_a211,20,0,6.4G,142M,97M,S,0.0,2.5,0:01.49,com.android.ven+
